D0,M 0.0003,N 0.0003,O 0.0003,MN 0.0003,MNO 0.0003,M 0.0001,N 0.0001,O 0.0001,MN 0.0001,MNO 0.0001,M 0.00003,N 0.00003,O 0.00003,MN 0.00003,MNO 0.00003,M 0.00001,N 0.00001,O 0.00001,MN 0.00001,MNO 0.00001,M 0.000003,N 0.000003,O 0.000003,MN 0.000003,MNO 0.000003,M 0.000001,N 0.000001,O 0.000001,MN 0.000001,MNO 0.000001
2.75,1.04E-01,1.04E-01,4.48E-01,3.43E-01,2.63E-06,1.55E-01,1.55E-01,4.22E-01,2.67E-01,6.82E-07,2.19E-01,2.19E-01,3.91E-01,1.72E-01,1.32E-07,2.71E-01,2.71E-01,3.65E-01,9.42E-02,2.40E-08,3.08E-01,3.08E-01,3.46E-01,3.85E-02,2.95E-09,3.24E-01,3.24E-01,3.38E-01,1.45E-02,3.71E-10
2.85,5.67E-02,5.67E-02,4.72E-01,4.15E-01,6.75E-06,9.04E-02,9.04E-02,4.55E-01,3.64E-01,1.98E-06,1.42E-01,1.42E-01,4.29E-01,2.87E-01,4.67E-07,1.99E-01,1.99E-01,4.00E-01,2.01E-01,1.09E-07,2.60E-01,2.60E-01,3.70E-01,1.11E-01,1.80E-08,2.99E-01,2.99E-01,3.51E-01,5.17E-02,2.80E-09
2.95,2.90E-02,2.90E-02,4.86E-01,4.57E-01,1.59E-05,4.81E-02,4.81E-02,4.76E-01,4.28E-01,4.95E-06,8.11E-02,8.11E-02,4.59E-01,3.78E-01,1.31E-06,1.25E-01,1.25E-01,4.38E-01,3.13E-01,3.62E-07,1.85E-01,1.85E-01,4.07E-01,2.22E-01,7.72E-08,2.42E-01,2.42E-01,3.79E-01,1.36E-01,1.58E-08
3.05,1.43E-02,1.43E-02,4.93E-01,4.79E-01,3.56E-05,2.43E-02,2.43E-02,4.88E-01,4.64E-01,1.15E-05,4.26E-02,4.26E-02,4.79E-01,4.36E-01,3.24E-06,6.93E-02,6.93E-02,4.65E-01,3.96E-01,9.82E-07,1.13E-01,1.13E-01,4.44E-01,3.31E-01,2.46E-07,1.66E-01,1.66E-01,4.17E-01,2.52E-01,6.24E-08
3.15,6.95E-03,6.95E-03,4.96E-01,4.90E-01,7.82E-05,1.19E-02,1.19E-02,4.94E-01,4.82E-01,2.57E-05,2.13E-02,2.13E-02,4.89E-01,4.68E-01,7.48E-06,3.58E-02,3.58E-02,4.82E-01,4.46E-01,2.38E-06,6.17E-02,6.17E-02,4.69E-01,4.07E-01,6.51E-07,9.76E-02,9.76E-02,4.51E-01,3.54E-01,1.88E-07
3.25,3.35E-03,3.35E-03,4.98E-01,4.95E-01,1.70E-04,5.77E-03,5.77E-03,4.97E-01,4.91E-01,5.64E-05,1.04E-02,1.04E-02,4.95E-01,4.84E-01,1.67E-05,1.78E-02,1.78E-02,4.91E-01,4.73E-01,5.43E-06,3.15E-02,3.15E-02,4.84E-01,4.53E-01,1.56E-06,5.22E-02,5.22E-02,4.74E-01,4.22E-01,4.84E-07
3.35,1.60E-03,1.60E-03,4.99E-01,4.97E-01,3.70E-04,2.77E-03,2.77E-03,4.99E-01,4.96E-01,1.23E-04,5.03E-03,5.03E-03,4.97E-01,4.92E-01,3.66E-05,8.65E-03,8.65E-03,4.96E-01,4.87E-01,1.21E-05,1.56E-02,1.56E-02,4.92E-01,4.77E-01,3.55E-06,2.64E-02,2.64E-02,4.87E-01,4.60E-01,1.14E-06
3.45,7.64E-04,7.64E-04,4.99E-01,4.98E-01,8.02E-04,1.32E-03,1.32E-03,4.99E-01,4.98E-01,2.67E-04,2.41E-03,2.41E-03,4.99E-01,4.96E-01,8.00E-05,4.16E-03,4.16E-03,4.98E-01,4.94E-01,2.65E-05,7.54E-03,7.54E-03,4.96E-01,4.89E-01,7.88E-06,1.29E-02,1.29E-02,4.94E-01,4.81E-01,2.58E-06
3.55,3.64E-04,3.64E-04,4.99E-01,4.99E-01,1.74E-03,6.30E-04,6.30E-04,4.99E-01,4.99E-01,5.81E-04,1.15E-03,1.15E-03,4.99E-01,4.98E-01,1.74E-04,1.99E-03,1.99E-03,4.99E-01,4.97E-01,5.80E-05,3.62E-03,3.62E-03,4.98E-01,4.95E-01,1.73E-05,6.23E-03,6.23E-03,4.97E-01,4.91E-01,5.73E-06
3.65,1.73E-04,1.73E-04,4.98E-01,4.98E-01,3.77E-03,3.00E-04,3.00E-04,4.99E-01,4.99E-01,1.26E-03,5.47E-04,5.47E-04,5.00E-01,4.99E-01,3.80E-04,9.46E-04,9.46E-04,4.99E-01,4.99E-01,1.27E-04,1.73E-03,1.73E-03,4.99E-01,4.97E-01,3.79E-05,2.98E-03,2.98E-03,4.99E-01,4.96E-01,1.26E-05
